# Logging memory of PID 223117
# Command: python prepreprossing.py
# Time                 Elapsed_s   VmRSS_kB   VmHWM_kB   VmSize_kB   %MEM
2026-03-12 10:59:31  11.3675     10990632   10992680   18432932    5.5   
2026-03-12 10:59:32  11.6004     11183144   11185192   18432932    5.6   
2026-03-12 10:59:32  11.8323     11275304   11275304   18432932    5.7   
2026-03-12 10:59:32  12.064      11516968   11516968   18432932    5.8   
2026-03-12 10:59:32  12.2957     11777064   11779112   18432932    5.9   
2026-03-12 10:59:33  12.5276     12051496   12053544   18432932    6.1   
2026-03-12 10:59:33  12.7589     12323880   12323880   18432932    6.2   
2026-03-12 10:59:33  12.9902     12598312   12598312   18432932    6.3   
2026-03-12 10:59:33  13.2221     12868648   12868648   18432932    6.5   
2026-03-12 10:59:33  13.4534     13149224   13149224   18432932    6.6   
2026-03-12 10:59:34  13.6857     13408288   13410336   18433948    6.7   
2026-03-12 10:59:34  13.9174     13629624   13631672   18434100    6.9   
2026-03-12 10:59:34  14.1485     13889720   13891768   18434100    7.0   
2026-03-12 10:59:34  14.3804     14119096   14119096   18434100    7.1   
2026-03-12 10:59:35  14.6124     14262456   14262456   18434100    7.2   
2026-03-12 10:59:35  14.8439     14442680   14442680   18434100    7.3   
2026-03-12 10:59:35  15.0757     14627000   14627000   18434100    7.4   
2026-03-12 10:59:35  15.3075     14895288   14897336   18434100    7.5   
2026-03-12 10:59:36  15.5391     15032504   15032504   18434100    7.6   
2026-03-12 10:59:36  15.7717     15327416   15327048   18434100    7.7   
2026-03-12 10:59:36  16.0039     15618232   15618232   18434100    7.9   
2026-03-12 10:59:36  16.2357     15769784   15769784   18434100    7.9   
2026-03-12 10:59:36  16.4677     15923384   15925432   18434100    8.0   
2026-03-12 10:59:37  16.6993     16209380   16212152   18434100    8.2   
2026-03-12 10:59:37  16.9309     16490680   16492728   18434100    8.3   
2026-03-12 10:59:37  17.1626     16768176   16770224   18435116    8.5   
2026-03-12 10:59:37  17.3944     17034564   17036612   18435264    8.6   
2026-03-12 10:59:38  17.6266     17333572   17335620   18435264    8.7   
2026-03-12 10:59:38  17.8586     17581380   17581380   18435264    8.9   
2026-03-12 10:59:38  18.09       17755460   17755460   18435264    8.9   
2026-03-12 10:59:38  18.3218     17945924   17945924   18435264    9.0   
2026-03-12 10:59:39  18.554      18206020   18206020   18435264    9.2   
2026-03-12 10:59:39  18.7861     18508120   18508120   36490736    9.3   
2026-03-12 10:59:39  19.0182     18831704   18833752   36490736    9.5   
2026-03-12 10:59:39  19.2503     19155288   19157336   36490736    9.7   
2026-03-12 10:59:39  19.4823     19478872   19480920   36490736    9.8   
2026-03-12 10:59:40  19.7147     19800408   19802456   36490736    10.0  
2026-03-12 10:59:40  19.9469     20123992   20126040   36490736    10.2  
2026-03-12 10:59:40  20.1787     20447576   20449624   36490736    10.3  
2026-03-12 10:59:40  20.4107     20767064   20769112   36490736    10.5  
2026-03-12 10:59:41  20.6425     21090648   21092696   36490736    10.6  
2026-03-12 10:59:41  20.8746     21414232   21416280   36490736    10.8  
2026-03-12 10:59:41  21.1065     21735768   21737816   36490736    11.0  
2026-03-12 10:59:41  21.3385     22059352   22061400   36490736    11.1  
